江苏省,农、林、牧、渔业-农业,537
江苏省,农、林、牧、渔业-林业,91
江苏省,农、林、牧、渔业-畜牧业,126
江苏省,农、林、牧、渔业-渔业,134
江苏省,农、林、牧、渔业-农、林、牧、渔专业及辅助性活动,259
江苏省,采矿业-煤炭开采和洗选业,4
江苏省,采矿业-石油和天然气开采业,0
江苏省,采矿业-黑色金属矿采选业,3
江苏省,采矿业-有色金属矿采选业,8
江苏省,采矿业-非金属矿采选业,6
江苏省,采矿业-开采专业及辅助性活动,4
江苏省,采矿业-其他采矿业,0
江苏省,制造业-农副食品加工业,42
江苏省,制造业-食品制造业,36
江苏省,制造业-酒、饮料和精制茶制造业,22
江苏省,制造业-烟草制品业,2
江苏省,制造业-纺织业,204
江苏省,制造业-纺织服装、服饰业,128
江苏省,制造业-皮革、毛皮、羽毛及其制品和制鞋业,33
江苏省,制造业-木材加工和木、竹、藤、棕、草制品业,58
江苏省,制造业-家具制造业,52
江苏省,制造业-造纸和纸制品业,36
江苏省,制造业-印刷和记录媒介复制业,13
江苏省,制造业-文教、工美、体育和娱乐用品制造业,54
江苏省,制造业-石油、煤炭及其他燃料加工业,23
江苏省,制造业-化学原料和化学制品制造业,118
江苏省,制造业-医药制造业,47
江苏省,制造业-化学纤维制造业,34
江苏省,制造业-橡胶和塑料制品业,130
江苏省,制造业-非金属矿物制品业,179
江苏省,制造业-黑色金属冶炼和压延加工业,64
江苏省,制造业-有色金属冶炼和压延加工业,52
江苏省,制造业-金属制品业,246
江苏省,制造业-通用设备制造业,336
江苏省,制造业-专用设备制造业,383
江苏省,制造业-汽车制造业,169
江苏省,制造业-铁路、船舶、航空航天和其他运输设备制造业,101
江苏省,制造业-电气机械和器材制造业,391
江苏省,制造业-计算机、通信和其他电子设备制造业,386
江苏省,制造业-仪器仪表制造业,95
江苏省,制造业-其他制造业,74
江苏省,制造业-废弃资源综合利用业,13
江苏省,制造业-金属制品、机械和设备修理业,12
江苏省,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,77
江苏省,电力、热力、燃气及水生产和供应业-燃气生产和供应业,13
江苏省,电力、热力、燃气及水生产和供应业-水的生产和供应业,36
江苏省,建筑业-房屋建筑业,2442
江苏省,建筑业-土木工程建筑业,2386
江苏省,建筑业-建筑安装业,1200
江苏省,建筑业-建筑装饰、装修和其他建筑业,1653
江苏省,批发和零售业-批发业,1424
江苏省,批发和零售业-零售业,176
江苏省,交通运输、仓储和邮政业-铁路运输业,1
江苏省,交通运输、仓储和邮政业-道路运输业,65
江苏省,交通运输、仓储和邮政业-水上运输业,43
江苏省,交通运输、仓储和邮政业-航空运输业,5
江苏省,交通运输、仓储和邮政业-管道运输业,4
江苏省,交通运输、仓储和邮政业-多式联运和运输代理业,38
江苏省,交通运输、仓储和邮政业-装卸搬运和仓储业,118
江苏省,交通运输、仓储和邮政业-邮政业,7
江苏省,住宿和餐饮业-住宿业,54
江苏省,住宿和餐饮业-餐饮业,30
江苏省,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务,17
江苏省,信息传输、软件和信息技术服务业-互联网和相关服务,21
江苏省,信息传输、软件和信息技术服务业-软件和信息技术服务业,226
江苏省,金融业-货币金融服务,519
江苏省,金融业-资本市场服务,580
江苏省,金融业-保险业,19
江苏省,金融业-其他金融业,430
江苏省,房地产业-房地产业,5250
江苏省,租赁和商务服务业-租赁业,34
江苏省,租赁和商务服务业-商务服务业,2233
江苏省,科学研究和技术服务业-研究和试验发展,434
江苏省,科学研究和技术服务业-专业技术服务业,316
江苏省,科学研究和技术服务业-科技推广和应用服务业,121
江苏省,水利、环境和公共设施管理业-水利管理业,17
江苏省,水利、环境和公共设施管理业-生态保护和环境治理业,36
江苏省,水利、环境和公共设施管理业-公共设施管理业,164
江苏省,水利、环境和公共设施管理业-土地管理业,5
江苏省,居民服务、修理和其他服务业-居民服务业,19
江苏省,居民服务、修理和其他服务业-机动车、电子产品和日用产品修理业,10
江苏省,居民服务、修理和其他服务业-其他服务业,19
江苏省,教育-教育,6
江苏省,卫生和社会工作-卫生,34
江苏省,卫生和社会工作-社会工作,17
江苏省,文化、体育和娱乐业-新闻和出版业,20
江苏省,文化、体育和娱乐业-广播、电视、电影和录音制作业,17
江苏省,文化、体育和娱乐业-文化艺术业,37
江苏省,文化、体育和娱乐业-体育,10
江苏省,文化、体育和娱乐业-娱乐业,10
江苏省,公共管理、社会保障和社会组织-中国共产党机关,0
江苏省,公共管理、社会保障和社会组织-国家机构,0
江苏省,公共管理、社会保障和社会组织-人民政协、民主党派,0
江苏省,公共管理、社会保障和社会组织-社会保障,0
江苏省,公共管理、社会保障和社会组织-群众团体、社会团体和其他成员组织,0
江苏省,公共管理、社会保障和社会组织-基层群众自治组织,0
江苏省,国际组织-国际组织,0
