1,太原市,1,电信、广播电视和卫星传输服务,65
1,太原市,2,软件和信息技术服务业,7007
1,太原市,3,互联网和相关服务,1876
1,太原市,4,其他金融业,385
1,太原市,5,专业技术服务业,5223
1,太原市,6,研究和试验发展,679
1,太原市,7,科技推广和应用服务业,17989
1,太原市,8,生态保护和环境治理业,298
10,临汾市,1,电信、广播电视和卫星传输服务,35
10,临汾市,2,软件和信息技术服务业,607
10,临汾市,3,互联网和相关服务,310
10,临汾市,4,其他金融业,30
10,临汾市,5,专业技术服务业,785
10,临汾市,6,研究和试验发展,80
10,临汾市,7,科技推广和应用服务业,1824
10,临汾市,8,生态保护和环境治理业,124
11,吕梁市,1,电信、广播电视和卫星传输服务,44
11,吕梁市,2,软件和信息技术服务业,393
11,吕梁市,3,互联网和相关服务,277
11,吕梁市,4,其他金融业,34
11,吕梁市,5,专业技术服务业,560
11,吕梁市,6,研究和试验发展,52
11,吕梁市,7,科技推广和应用服务业,813
11,吕梁市,8,生态保护和环境治理业,121
2,大同市,1,电信、广播电视和卫星传输服务,17
2,大同市,2,软件和信息技术服务业,494
2,大同市,3,互联网和相关服务,126
2,大同市,4,其他金融业,10
2,大同市,5,专业技术服务业,416
2,大同市,6,研究和试验发展,67
2,大同市,7,科技推广和应用服务业,1654
2,大同市,8,生态保护和环境治理业,87
3,阳泉市,1,电信、广播电视和卫星传输服务,10
3,阳泉市,2,软件和信息技术服务业,366
3,阳泉市,3,互联网和相关服务,125
3,阳泉市,4,其他金融业,16
3,阳泉市,5,专业技术服务业,216
3,阳泉市,6,研究和试验发展,49
3,阳泉市,7,科技推广和应用服务业,721
3,阳泉市,8,生态保护和环境治理业,44
4,长治市,1,电信、广播电视和卫星传输服务,12
4,长治市,2,软件和信息技术服务业,747
4,长治市,3,互联网和相关服务,157
4,长治市,4,其他金融业,18
4,长治市,5,专业技术服务业,748
4,长治市,6,研究和试验发展,157
4,长治市,7,科技推广和应用服务业,2291
4,长治市,8,生态保护和环境治理业,88
5,晋城市,1,电信、广播电视和卫星传输服务,12
5,晋城市,2,软件和信息技术服务业,424
5,晋城市,3,互联网和相关服务,197
5,晋城市,4,其他金融业,15
5,晋城市,5,专业技术服务业,748
5,晋城市,6,研究和试验发展,79
5,晋城市,7,科技推广和应用服务业,1058
5,晋城市,8,生态保护和环境治理业,91
6,朔州市,1,电信、广播电视和卫星传输服务,13
6,朔州市,2,软件和信息技术服务业,335
6,朔州市,3,互联网和相关服务,77
6,朔州市,4,其他金融业,5
6,朔州市,5,专业技术服务业,262
6,朔州市,6,研究和试验发展,54
6,朔州市,7,科技推广和应用服务业,651
6,朔州市,8,生态保护和环境治理业,47
7,晋中市,1,电信、广播电视和卫星传输服务,26
7,晋中市,2,软件和信息技术服务业,606
7,晋中市,3,互联网和相关服务,238
7,晋中市,4,其他金融业,15
7,晋中市,5,专业技术服务业,592
7,晋中市,6,研究和试验发展,118
7,晋中市,7,科技推广和应用服务业,2176
7,晋中市,8,生态保护和环境治理业,117
8,运城市,1,电信、广播电视和卫星传输服务,36
8,运城市,2,软件和信息技术服务业,1238
8,运城市,3,互联网和相关服务,470
8,运城市,4,其他金融业,44
8,运城市,5,专业技术服务业,773
8,运城市,6,研究和试验发展,185
8,运城市,7,科技推广和应用服务业,4236
8,运城市,8,生态保护和环境治理业,98
9,忻州市,1,电信、广播电视和卫星传输服务,24
9,忻州市,2,软件和信息技术服务业,270
9,忻州市,3,互联网和相关服务,146
9,忻州市,4,其他金融业,13
9,忻州市,5,专业技术服务业,387
9,忻州市,6,研究和试验发展,42
9,忻州市,7,科技推广和应用服务业,742
9,忻州市,8,生态保护和环境治理业,111
